X,Y,OBJECTID,NOTES,TYPE,COMPKEY,UNITID,COMPTYPE,SITE,City
500142.45340000,5459076.96650000,108, ,ST,545527,CONFED FOUN 6,3,CONFEDERATION PARK,Burnaby
499888.00300000,5459091.57160000,109, ,ST,545524,CONFED FOUN 2,3,CONFEDERATION PARK,Burnaby
499932.89390000,5459131.52820000,110, ,DF,545523,CONFED FOUN 3,3,CONFEDERATION PARK,Burnaby
500038.68410000,5459146.06640000,111, ,DF,545522,CONFED FOUN 1,3,CONFEDERATION PARK,Burnaby
500193.52010000,5459227.47670000,112, ,DDF,545525,CONFED FOUN 4,3,CONFEDERATION PARK,Burnaby
501057.83550000,5459450.17090000,113, ,DDF,545546,HARBOURVIEW FOUN,3,CAPITOL HILL - GROSVENOR CR,Burnaby
505549.62590000,5459482.39770000,114, ,DF,545471,BARNET PK FOUN 4,3,BURNABY MOUNTAIN CONSERVATION AREA,Burnaby
499218.60130000,5459574.05470000,115, ,ST,545572,MCGILL PK FOUN,3,MCGILL PARK,Burnaby
505728.06510000,5459689.55890000,116, ,DF,545469,BARNET PK FOUN 2,3,BARNET MARINE PARK,Burnaby
505486.63540000,5459710.21930000,117, ,ST,545468,BARNET PK FOUN 1,3,BARNET MARINE PARK,Burnaby
505644.82890000,5459746.68550000,118, ,DF,545470,BARNET PK FOUN 3,3,BARNET MARINE PARK,Burnaby
505448.97490000,5459792.75050000,119, ,DF,545580,BARNET PK FOUN 5,3,BARNET MARINE PARK,Burnaby
502219.11120000,5454194.33160000,120, ,DF,546323,SHADBOLT FOUN 1,3,SHADBOLT,Burnaby
502219.11120000,5454194.33160000,121, ,DF,546992,SHADBOLT FOUN 2,3,SHADBOLT,Burnaby
502519.44780000,5455418.29700000,122, ,DF,545514,BBY LK W FOUN 8,3,Bby Lake Rink,Burnaby
502519.79140000,5455509.36860000,123,lower lobby,DF,546946,BILL COP FOUN 1,3,Bill Copland,Burnaby
502532.00970000,5453605.12640000,124, Fieldhouse,DF,546961,DEER LAKE FOUN 2,3,DEER LAKE PARK,Burnaby
502519.79140000,5455509.36860000,125,upper lobby,DF,546947,BILL COP FOUN 3,3,Bill Copland,Burnaby
502519.79140000,5455509.36860000,126,dressing room hall,BF,546949,BILL COP FOUN 4,3,Bill Copland,Burnaby
502519.79140000,5455509.36860000,127,dressing room hall,BF,546950,BILL COP FOUN 5,3,Bill Copland,Burnaby
502519.79140000,5455509.36860000,128,lower lobby,DF,547036,BILL COP FOUN 2,3,Bill Copland,Burnaby
500222.87940000,5452375.38460000,129, ,DF,546952,BONSOR PK FOUN 5,3,Bonsor,Burnaby
500222.87940000,5452375.38460000,130, ,DF,546951,BONSOR PK FOUN 4,3,Bonsor,Burnaby
500222.87940000,5452375.38460000,131, ,DF,546953,BONSOR PK FOUN 6,3,Bonsor,Burnaby
500222.87940000,5452375.38460000,132, ,DF,546954,BONSOR PK FOUN 7,3,Bonsor,Burnaby
500222.87940000,5452375.38460000,133, ,DF,545477,BONSOR PK FOUN 3,3,Bonsor,Burnaby
507331.38170000,5455696.08560000,134, ,DF,546956,CAMERON FOUN 1,3,Cameron Rec Centre and Branch,Burnaby
507331.38170000,5455696.08560000,135, ,DF,546957,CAMERON FOUN 2,3,Cameron Rec Centre and Branch,Burnaby
502005.74680000,5454505.38700000,136, ,DF,546959,CITY HALL FOUN 1,3,City Hall,Burnaby
502005.74680000,5454505.38700000,137, ,DF,546960,CITY HALL FOUN 2,3,City Hall,Burnaby
502355.20890000,5454215.08930000,138,Carousel,DF,547017,DEER LAKE FOUN 3,3,DEER LAKE PARK,Burnaby
501889.29050000,5458133.20070000,139,rink,DF,546964,KENSINGTN FOUN 5,3,KENSINGTON RINK,Burnaby
499047.84760000,5457600.03330000,140, ,DF,546999,WILLINGDN FOUN 3,3,Willingdon Heights Rec Centre,Burnaby
506917.57900000,5455478.06740000,141, ,ST,545474,BELL PK FOUN,3,BELL PARK,Burnaby
506099.99260000,5452830.50710000,142, ,ST,545544,GEORGE LEAF FOUN,3,GEORGE LEAF PARK,Burnaby
499958.88740000,5458884.78030000,143, ,DF,546962,MCGILL LB FOUN,3,MCGILL LIBRARY,Burnaby
502219.11120000,5454194.33160000,144, ,DF,546978,SHADBOLT FOUN 3,3,SHADBOLT,Burnaby
503473.29440000,5451777.97520000,145,main floor,DF,547083,TOMMY D LIB FOUN,3,TOMMY DOUGLAS LIBRARY,Burnaby
499593.93310000,5452820.72080000,146, ,DF,546327,METROTWN LB FOUN,3,METROTOWN LIBRARY,Burnaby
504224.75310000,5456828.12810000,147, ,DF,545504,BBY MTN GC FTN 5,3,BURNABY MOUNTAIN GOLF COURSE,Burnaby
504158.51500000,5457228.61690000,148, ,DF,545593,SQUINT LK FOUN 1,3,SQUINT LAKE PARK,Burnaby
499932.67660000,5458854.74460000,149,PARKING LOT,DF,548193,MCGILL LB FOUN2,3,MCGILL LIBRARY,Burnaby
499782.38130000,5457775.51060000,150,,,642717,WILLINGDN FOUN 4,3,,Burnaby
500555.55590000,5452455.70840000,151,,,642798,LOBLEY PK FOUN,3,,Burnaby
