MAPID,Neighborhood,X,Y,TYPE,LOCATION,DETAILED_LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,City,Geom
DFENG0710,Renfrew-Collingwood,497521.2243507660,5453395.2769865000,Temporary Fountain location, Wessex & Kingsway,3357 Kingsway,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[497521.22435076686,5453395.276986501]}"
DFENG0601,Strathcona,493360.0135666190,5458747.5734457500,Temporary Handwashing Station location, Union Gospel Mission,601 E Hastings St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493360.01356661925,5458747.573445756]}"
DFPB0001,Renfrew-Collingwood,498017.0936935950,5453586.3153953400,Fountain location, Aberdeen Park,plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[498017.0936935959,5453586.315395349]}"
DFPB0003,West End,489645.8605504460,5459221.8172841800,Fountain location, Alexandra Park,west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489645.8605504464,5459221.817284187]}"
DFPB0040,Downtown,490961.2380780150,5458216.9259457300,Fountain location, Emery Barnes Park - South west of playground,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[490961.2380780158,5458216.925945734]}"
DFPB0056,Grandview-Woodland,494918.9217360980,5457901.2440951200,Fountain location, Grandview Park - South of playground,By the Playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494918.92173609877,5457901.244095122]}"
DFPB0062,Downtown,491151.8936481080,5459713.5759148000,Fountain location, Harbour Green Park - In front of washrooms,near spray pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491151.893648108,5459713.575914806]}"
DFPB0068,Hastings-Sunrise,497508.0520852380,5458868.3063247900,Fountain location, Hastings Park -Plateau Sport Parks / Empire Fields,East of basketball courts,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497508.05208523833,5458868.306324796]}"
DFPB0071,Riley Park,492214.5693161250,5454771.0158864000,Fountain location, Hillcrest Park - North of playground,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[492214.5693161253,5454771.015886401]}"
DFPB0079,Killarney,496951.7150779140,5452709.8760849400,Fountain location, Killarney Park - East of wading pool,in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[496951.7150779141,5452709.876084947]}"
DFPB0100,Kerrisdale,487567.9925148430,5452008.6460492900,Fountain location, McCleery Golf Course - servive yard,servive yard,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[487567.99251484335,5452008.646049294]}"
DFPB0106,Sunset,493650.6183597150,5451409.7100121400,Fountain location, Moberly Park - Arts & Cultural Centre,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[493650.6183597154,5451409.710012143]}"
DFPB0110,Victoria-Fraserview,495856.9037619050,5452845.9976408700,Fountain location, Nanaimo Park,in front of wading pool,Parks,spring to fall,,Nanaimo Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[495856.90376190585,5452845.997640873]}"
DFPB0111,West End,490547.9154197610,5458918.2458296100,Fountain location, Nelson Park,middle of park,Parks,spring to fall,,Nelson Park - drinking fountain - 2006.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[490547.91541976196,5458918.245829614]}"
DFPB0115,Renfrew-Collingwood,496301.1908971210,5453945.8410105100,Fountain location, Norquay Park,front of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496301.19089712104,5453945.841010516]}"
DFPB0118,Marpole,490724.1541293410,5451552.4218561100,Fountain location, Oak Park - East of spray park,In spray park,Parks,spring to fall,,Oak Park - drinking fountain 1 - 2007.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[490724.15412934107,5451552.421856119]}"
DFPB0120,Grandview-Woodland,495826.0826256470,5458853.3666993900,Fountain location, Pandora Park,N-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[495826.0826256473,5458853.366699397]}"
DFPB0122,Downtown,492400.5470071760,5458784.7342071100,Fountain location, Pioneer Place (Pigeon Park),,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[492400.5470071768,5458784.734207114]}"
DFPB0131,Sunset,493983.2690460700,5451588.1457840700,Fountain location, Ross Park,near shelter,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493983.2690460702,5451588.145784076]}"
DFPB0134,Hastings-Sunrise,497772.6139727300,5457824.7494923100,Fountain location, Rupert Park - South of golf entrance booth,S-side of golf entrance booth,Parks,spring to fall,,Rupert Park - drinking fountain 2 - 2007.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497772.61397273035,5457824.749492317]}"
DFPB0161,Stanley Park,489218.2593734220,5462001.1172807100,Fountain location, Stanley Park - Dog Off-leash area,Beside Dog off-leash area,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489218.25937342236,5462001.117280712]}"
DFPB0156,Stanley Park,489228.7094401830,5462009.0706910800,Fountain location, Stanley Park - Prospect Point Picnic Site,Prospect Point picnic area,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489228.70944018324,5462009.070691083]}"
DFPB0168,Fairview,490250.6621607080,5457393.8015296700,Fountain location, Sutcliffe Park,S-side of false creek communit,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[490250.66216070805,5457393.801529675]}"
DFPB0170,Victoria-Fraserview,494890.8066098240,5452994.7450648500,Fountain location, Tecumseh Park,middle of park,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494890.80660982494,5452994.745064851]}"
DFPB0173,Strathcona,493227.5078491710,5458038.5049156100,Fountain location, Trillium Park,on west side of building,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493227.5078491717,5458038.504915615]}"
DFPB0183,West Point Grey,485067.8202104810,5457060.7891600700,Fountain location, West Point Grey Park - North of wading pool,N-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[485067.82021048124,5457060.7891600765]}"
DFENG0504,Kitsilano,488886.6054054110,5457895.2437467300,Bottle Filling Station location, Kitsilano Pumping Station,North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[488886.6054054116,5457895.243746735]}"
DFENG0003,Kitsilano,488890.7999869440,5457285.3039440900,Fountain location, 4th & Arbutus,Northeast corner of 4th & Arbutus,Engineering,May-October,N,4th_arbutus.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[488890.79998694453,5457285.30394409]}"
DFENG0024,West End,490600.5949216630,5458507.1941471100,Fountain location, Burrard & Davie,Northwest corner of Burrard & Davie,Engineering,Year Round,N,davie_burrard.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490600.5949216639,5458507.194147118]}"
DFENG0034,Hastings-Sunrise,496039.9873943660,5458695.1855105100,Fountain location, Hastings & Kamloops,Northeast corner of Hastings & Kamloops,Engineering,May-October,N,hastings_kamloops.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[496039.987394366,5458695.185510519]}"
DFENG0008,West End,489781.1163580470,5458857.4501228800,Fountain location, Nicola & Beach,Northeast corner of Nicola & Beach,Engineering,May-October,N,nicola_beach.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489781.11635804776,5458857.450122884]}"
DFENG0042,Marpole,491651.5858412070,5451159.9747170900,Fountain location, W 63rd Avenue & Yukon Street,Southeast corner of W 63rd Avenue & Yukon Street,Engineering,Year Round,N,yukon_63rd.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491651.5858412076,5451159.974717094]}"
